sentenceid,sentence_text,drug_pair,ddi_label,drug1,drug2,drug1offset,drug2offset,drugsinsent
DDI-DrugBank.d519.s3,Laboratory Tests Response to Plenaxis should be monitored by measuring serum total testosterone concentrations just prior to administration on Day 29 and every 8 weeks thereafter.,DDI-DrugBank.d519.s3.p0,0,Plenaxis,testosterone,29-36,83-94,"Plenaxis,testosterone,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p0,0,MTX,NSAIDs,50-52,55-60,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p1,0,MTX,corticosteroids,50-52,63-77,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p2,0,MTX,TNF blocking agents,50-52,84-102,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p3,0,MTX,abatacept,50-52,122-130,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p4,0,NSAIDs,corticosteroids,55-60,63-77,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p5,0,NSAIDs,TNF blocking agents,55-60,84-102,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p6,0,NSAIDs,abatacept,55-60,122-130,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p7,0,corticosteroids,TNF blocking agents,63-77,84-102,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p8,0,corticosteroids,abatacept,63-77,122-130,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",DDI-DrugBank.d297.s1.p9,0,TNF blocking agents,abatacept,84-102,122-130,"MTX,NSAIDs,corticosteroids,TNF blocking agents,abatacept,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p0,0,ORENCIA,MTX,115-121,124-126,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p1,0,ORENCIA,NSAIDs,115-121,129-134,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p2,0,ORENCIA,corticosteroids,115-121,137-151,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p3,0,ORENCIA,TNF blocking agents,115-121,154-172,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p4,0,ORENCIA,azathioprine,115-121,175-186,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p5,0,ORENCIA,chloroquine,115-121,189-199,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p6,0,ORENCIA,gold,115-121,202-205,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p7,0,ORENCIA,hydroxychloroquine,115-121,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p8,0,ORENCIA,leflunomide,115-121,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p9,0,ORENCIA,sulfasalazine,115-121,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p10,0,ORENCIA,anakinra,115-121,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p11,0,MTX,NSAIDs,124-126,129-134,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p12,0,MTX,corticosteroids,124-126,137-151,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p13,0,MTX,TNF blocking agents,124-126,154-172,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p14,0,MTX,azathioprine,124-126,175-186,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p15,0,MTX,chloroquine,124-126,189-199,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p16,0,MTX,gold,124-126,202-205,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p17,0,MTX,hydroxychloroquine,124-126,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p18,0,MTX,leflunomide,124-126,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p19,0,MTX,sulfasalazine,124-126,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p20,0,MTX,anakinra,124-126,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p21,0,NSAIDs,corticosteroids,129-134,137-151,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
